1.340,0.301,-0.175,-0.485
1.360,0.296,-0.181,-0.489
1.380,0.289,-0.186,-0.493
1.400,0.283,-0.190,-0.498
1.420,0.277,-0.194,-0.502
1.440,0.270,-0.196,-0.507
1.460,0.263,-0.198,-0.512
1.480,0.255,-0.200,-0.518
1.500,0.247,-0.200,-0.523
1.520,0.240,-0.200,-0.529
1.540,0.231,-0.198,-0.535
1.560,0.223,-0.196,-0.541
1.580,0.215,-0.194,-0.547
1.600,0.206,-0.190,-0.553
1.620,0.197,-0.186,-0.559
1.640,0.188,-0.181,-0.566
1.660,0.178,-0.175,-0.573
1.680,0.169,-0.169,-0.580
1.700,0.159,-0.162,-0.587
1.720,0.149,-0.154,-0.594
1.740,0.139,-0.146,-0.601
1.760,0.129,-0.137,-0.608
1.780,0.119,-0.127,-0.615
1.800,0.108,-0.118,-0.623
1.820,0.098,-0.107,-0.630
1.840,0.087,-0.096,-0.638
1.860,0.076,-0.085,-0.645
1.880,0.066,-0.074,-0.653
1.900,0.055,-0.062,-0.661
1.920,0.044,-0.050,-0.669
1.940,0.033,-0.037,-0.676
1.960,0.022,-0.025,-0.684
1.980,0.011,-0.013,-0.692
2.000,-0.000,0.000,-0.700
2.020,-0.011,0.013,-0.708
2.040,-0.022,0.025,-0.716
2.060,-0.033,0.037,-0.724
2.080,-0.044,0.050,-0.731
2.100,-0.055,0.062,-0.739
2.120,-0.066,0.074,-0.747
2.140,-0.076,0.085,-0.755
2.160,-0.087,0.096,-0.762
2.180,-0.098,0.107,-0.770
2.200,-0.108,0.118,-0.777
2.220,-0.119,0.127,-0.785
2.240,-0.129,0.137,-0.792
2.260,-0.139,0.146,-0.799
2.280,-0.149,0.154,-0.806
2.300,-0.159,0.162,-0.813
2.320,-0.169,0.169,-0.820
2.340,-0.178,0.175,-0.827
2.360,-0.188,0.181,-0.834
2.380,-0.197,0.186,-0.841
2.400,-0.206,0.190,-0.847
2.420,-0.215,0.194,-0.853
2.440,-0.223,0.196,-0.859
2.460,-0.231,0.198,-0.865
2.480,-0.240,0.200,-0.871
2.500,-0.247,0.200,-0.877
2.520,-0.255,0.200,-0.882
2.540,-0.263,0.198,-0.888
2.560,-0.270,0.196,-0.893
2.580,-0.277,0.194,-0.898
2.600,-0.283,0.190,-0.902
2.620,-0.289,0.186,-0.907
2.640,-0.296,0.181,-0.911
2.660,-0.301,0.175,-0.915
2.680,-0.307,0.169,-0.919
2.700,-0.312,0.162,-0.923
2.720,-0.317,0.154,-0.926
2.740,-0.321,0.146,-0.929
2.760,-0.325,0.137,-0.932
2.780,-0.329,0.127,-0.935
2.800,-0.333,0.118,-0.938
2.820,-0.336,0.107,-0.940
2.840,-0.339,0.096,-0.942
2.860,-0.342,0.085,-0.944
2.880,-0.344,0.074,-0.946
2.900,-0.346,0.062,-0.947
2.920,-0.347,0.050,-0.948
2.940,-0.348,0.037,-0.949
2.960,-0.349,0.025,-0.950
2.980,-0.350,0.013,-0.950
3.000,-0.350,-0.000,-0.950
3.020,-0.350,-0.013,-0.950
3.040,-0.349,-0.025,-0.950
3.060,-0.348,-0.037,-0.949
3.080,-0.347,-0.050,-0.948
3.100,-0.346,-0.062,-0.947
3.120,-0.344,-0.074,-0.946
3.140,-0.342,-0.085,-0.944
3.160,-0.339,-0.096,-0.942
3.180,-0.336,-0.107,-0.940
3.200,-0.333,-0.118,-0.938
3.220,-0.329,-0.127,-0.935
3.240,-0.325,-0.137,-0.932
3.260,-0.321,-0.146,-0.929
3.280,-0.317,-0.154,-0.926
3.300,-0.312,-0.162,-0.923
3.320,-0.307,-0.169,-0.919
3.340,-0.301,-0.175,-0.915
3.360,-0.296,-0.181,-0.911
3.380,-0.289,-0.186,-0.907
3.400,-0.283,-0.190,-0.902
3.420,-0.277,-0.194,-0.898
3.440,-0.270,-0.196,-0.893
3.460,-0.263,-0.198,-0.888
3.480,-0.255,-0.200,-0.882
3.500,-0.247,-0.200,-0.877
3.520,-0.240,-0.200,-0.871
3.540,-0.231,-0.198,-0.865
3.560,-0.223,-0.196,-0.859
3.580,-0.215,-0.194,-0.853
3.600,-0.206,-0.190,-0.847
3.620,-0.197,-0.186,-0.841
3.640,-0.188,-0.181,-0.834
3.660,-0.178,-0.175,-0.827
3.680,-0.169,-0.169,-0.820
3.700,-0.159,-0.162,-0.813
3.720,-0.149,-0.154,-0.806
3.740,-0.139,-0.146,-0.799
3.760,-0.129,-0.137,-0.792
3.780,-0.119,-0.127,-0.785
3.800,-0.108,-0.118,-0.777
3.820,-0.098,-0.107,-0.770
3.840,-0.087,-0.096,-0.762
3.860,-0.076,-0.085,-0.755
3.880,-0.066,-0.074,-0.747
3.900,-0.055,-0.062,-0.739
3.920,-0.044,-0.050,-0.731
